date;time;80x01-02_engine-rpm;80x03_coolant_temp;80x04_ambient_temp;80x05_intake_air_temp;80x06_fuel_temp;80x07_map_kpa;80x08_battery_voltage;80x09_throttle_pot;80x0A_idle_switch;80x0B_aircon;80x0C_park_neutral_switch;80x0F_idle_set_point;80x10_idle_hot;80x12_iac_position;80x13-14_idle_error;80x15_ignition_advance_offset;80x16_ignition_advance;80x17-18_coil_time;80x19_crankshaft_position_sensor;coolant_sensor_fault;air_intake_sensor_fault;fuel_pump_circuit_fault;throttle_pot_fault;0x80_raw;7dx01_ignition_switch;7dx02_throttle_angle;7dx04_air_fuel_ratio;7dx06_lambda_voltage;7dx07_lambda_sensor_frequency;7dx08_lambda_sensor_dutycycle;7dx09_lambda_sensor_status;7dx0A_closed_loop;7dx0B_long_term_fuel_trim;7dx0C_short_term_fuel_trim;7dx0D_carbon_canister_dutycycle;7dx0F_idle_base_pos;7dx12_ignition_advance2;7dx13_idle_speed_offset;7dx1F_jack_count;0x7d_raw
10.12.2023 00:00;19:40:15;1043;61;14;13;30;37;14. Feb;0.06;0;true;true;0;43;108;128;0;12. Mai;Apr 48;16;false;false;false;false;801C041374454455258E030020082080002B886C0000004908C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:40:17;1048;61;14;13;30;37;14. Feb;0.06;0;true;true;0;43;108;128;0;12;Apr 48;16;false;false;false;false;801C041874454455258E030020082080002B886C0008004808C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:40:17;1078;61;14;13;30;34;14. Feb;0.06;0;true;true;0;43;108;128;0;12. Mai;Apr 48;16;false;false;false;false;801C043674454455228E030020082080002B886C0004004908C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:40:19;1076;62;14;13;30;36;14. Feb;0.06;0;true;true;0;43;108;128;0;12. Mai;Apr 48;16;false;false;false;false;801C043475454455248E030020082080002B886C0008004908C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:40:20;1050;63;14;13;30;37;14. Feb;0.06;0;true;true;0;43;108;128;0;11. Mai;Apr 48;16;false;false;false;false;801C041A76454455258E030020082080002B886C0010004708C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:40:22;1037;63;14;13;30;34;14. Feb;0.06;0;true;true;0;43;107;128;0;12;Apr 48;16;false;false;false;false;801C040D76454455228E030020082080002B886B0008004808C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:40:22;1047;63;14;13;30;34;14. Feb;0.06;0;true;true;0;43;107;128;0;12. Mai;Apr 48;16;false;false;false;false;801C041776454455228E030020082080002B886B0000004908C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:40:24;1049;63;14;13;30;35;14. Feb;0.06;0;true;true;0;43;107;128;0;14;Apr 48;16;false;false;false;false;801C041976454455238E030020082080002B886B0008004C08C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023;19:40:26.014;1052;64;14;13;30;34;14. Feb;0.06;0;true;true;0;43;107;128;0;12. Mai;Apr 48;16;false;false;false;false;801C041C77454455228E030020082080002B886B0004004908C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:40:27;1060;64;14;13;30;35;14. Feb;0.06;0;true;true;0;43;107;128;0;12. Mai;Apr 48;16;false;false;false;false;801C042477454455238E030020082080002B886B0004004908C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023;19:40:28.028;1049;64;14;13;30;36;14. Feb;0.06;0;true;true;0;43;107;128;0;12. Mai;Apr 48;16;false;false;false;false;801C041977454455248E030020082080002B886B0004004908C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:40:29;1057;64;14;13;30;36;14. Feb;0.06;0;true;true;0;43;107;128;0;13. Mai;Apr 48;16;false;false;false;false;801C042177454455248E030020082080002B886B000C004B08C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:40:31;1048;64;14;13;30;34;14. Feb;0.06;0;true;true;0;43;106;128;0;12. Mai;Apr 48;16;false;false;false;false;801C041877454455228E030020082080002B886A0010004908C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:40:32;1063;64;14;13;30;35;14. Feb;0.06;0;true;true;0;43;105;128;0;12;Apr 48;16;false;false;false;false;801C042777454455238E030020082080002B8869001C004808C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:40:33;1044;64;14;13;30;34;14. Feb;0.06;0;true;true;0;43;105;128;0;14;Apr 48;16;false;false;false;false;801C041477454455228E030020082080002B88690008004C08C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:40:34;1042;64;14;13;30;34;14. Feb;0.06;0;true;true;0;43;105;128;0;12. Mai;Apr 48;16;false;false;false;false;801C041277454455228E030020082080002B88690000004908C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:40:36;1040;65;14;13;30;35;14. Feb;0.06;0;true;true;0;43;105;128;0;12;Apr 48;16;false;false;false;false;801C041078454455238E030020082080002B88690018004808C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023;19:40:38.034;1039;65;14;13;30;36;14. Feb;0.06;0;true;true;0;43;105;128;0;11. Mai;Apr 48;16;false;false;false;false;801C040F78454455248E030020082080002B8869000C004708C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:40:38;1018;65;14;13;30;34;14. Feb;0.06;0;true;true;0;43;105;128;0;11. Mai;Apr 48;16;false;false;false;false;801C03FA78454455228E030020082080002B88690010004708C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023;19:40:40.032;1033;65;14;13;30;36;14. Feb;0.06;0;true;true;0;43;105;128;0;12;Apr 48;16;false;false;false;false;801C040978454455248E030020082080002B88690008004808C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:40:41;1038;66;14;13;30;35;14. Feb;0.06;0;true;true;0;43;105;128;0;12. Mai;Apr 48;16;false;false;false;false;801C040E79454455238E030020082080002B88690008004908C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
